N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
22,한국전력,"43,750","상승
				750",+1.74%,"5,000","280,859","641,964",22.38,"2,652,182",4.44,9.22,
23,카카오,"63,100","상승
				2,200",+3.61%,100,"279,103","442,318",29.50,"3,036,537",131.19,0.56,
24,현대모비스,"301,000","하락
				4,000",-1.31%,"5,000","276,303","91,795",44.83,"46,153",6.72,9.35,
25,현대로템,"236,500","상승
				2,500",+1.07%,"5,000","258,122","109,142",33.55,"258,639",43.14,21.85,
26,삼성중공업,"29,250","상승
				150",+0.52%,"1,000","257,400","880,000",32.79,"12,500,749",90.84,1.77,
27,POSCO홀딩스,"317,000","하락
				3,000",-0.94%,"5,000","256,557","80,933",29.41,"167,893",53.67,2.00,
28,하나금융지주,"86,800","하락
				1,000",-1.14%,"5,000","241,587","278,326",68.14,"329,175",6.29,9.11,
29,삼성SDI,"288,000","상승
				3,000",+1.05%,"5,000","232,086","80,586",23.95,"1,067,733",-56.95,3.13,
30,SK이노베이션,"128,800","하락
				2,500",-1.90%,"5,000","217,740","169,053",12.80,"197,524",-6.56,-9.65,
31,고려아연,"1,095,000","하락
				14,000",-1.26%,"5,000","211,809","19,343",11.61,"9,328",56.43,2.28,
32,포스코퓨처엠,"235,000","하락
				10,500",-4.28%,500,"209,024","88,946",9.38,"626,826",-75.08,-7.98,
33,삼성화재,"448,000","하락
				4,500",-0.99%,500,"206,130","46,011",56.17,"23,406",11.23,13.11,
34,메리츠금융지주,"112,800","하락
				1,200",-1.05%,500,"197,650","175,222",15.61,"72,342",9.13,23.44,
35,HMM,"20,800","하락
				400",-1.89%,"5,000","196,193","943,238",6.81,"403,682",4.70,15.35,
36,우리금융지주,"25,550","하락
				300",-1.16%,"5,000","187,556","734,076",47.84,"396,083",6.58,9.39,
37,효성중공업,"1,893,000","하락
				27,000",-1.41%,"5,000","176,514","9,325",25.65,"22,044",49.08,14.90,
38,SK,"243,000","하락
				5,500",-2.21%,200,"176,182","72,503",26.24,"76,426",14.03,-5.64,
39,삼성전기,"229,500","상승
				1,000",+0.44%,"5,000","171,422","74,694",38.56,"199,658",30.34,8.16,
40,HD현대,"206,500","하락
				6,000",-2.82%,"1,000","163,121","78,993",25.46,"99,347",31.98,6.36,
41,KT&G,"135,400","하락
				400",-0.29%,"5,000","162,308","119,873",41.01,"65,856",17.63,12.66,
42,기업은행,"19,470","하락
				60",-0.31%,"5,000","155,259","797,426",13.34,"239,092",5.63,8.06,
43,두산,"892,000","상승
				18,000",+2.06%,"5,000","147,393","16,524",15.42,"92,163",-127.74,-14.57,
44,미래에셋증권,"25,550","하락
				250",-0.97%,"5,000","145,716","570,316",12.48,"1,374,550",15.45,7.94,
45,LG전자,"88,800","하락
				200",-0.22%,"5,000","144,643","162,886",31.66,"222,305",21.78,1.81,
46,한미반도체,"145,300","하락
				4,300",-2.87%,100,"138,489","95,312",7.97,"658,360",65.54,27.43,
47,크래프톤,"284,250","하락
				750",-0.26%,100,"134,717","47,394",42.32,"27,484",13.58,21.10,
48,삼성에스디에스,"169,700","하락
				3,000",-1.74%,500,"131,310","77,378",19.30,"49,839",17.47,8.42,
49,하이브,"308,500","하락
				1,000",-0.32%,500,"128,497","41,652",19.34,"200,196",230.40,0.31,
50,LG,"82,100","하락
				1,000",-1.20%,"5,000","126,616","154,222",35.55,"111,127",17.24,2.16,
